2010/05/19,910.64,910.64,910.64,910.64,910.64,910.64
2010/05/20,898.15,898.15,898.15,898.15,898.15,898.15
2010/05/21,879.69,879.69,879.69,879.69,879.69,879.69
2010/05/24,880.01,880.01,880.01,880.01,880.01,880.01
2010/05/25,859.82,859.82,859.82,859.82,859.82,859.82
2010/05/26,859.0,859.0,859.0,859.0,859.0,859.0
2010/05/27,869.89,869.89,869.89,869.89,869.89,869.89
2010/05/28,878.52,878.52,878.52,878.52,878.52,878.52
2010/05/31,880.46,880.46,880.46,880.46,880.46,880.46
2010/06/01,880.04,880.04,880.04,880.04,880.04,880.04
2010/06/02,870.05,870.05,870.05,870.05,870.05,870.05
2010/06/03,890.64,890.64,890.64,890.64,890.64,890.64
2010/06/04,890.16,890.16,890.16,890.16,890.16,890.16
2010/06/07,859.21,859.21,859.21,859.21,859.21,859.21
2010/06/08,858.33,858.33,858.33,858.33,858.33,858.33
2010/06/09,850.37,850.37,850.37,850.37,850.37,850.37
2010/06/10,856.79,856.79,856.79,856.79,856.79,856.79
2010/06/11,866.44,866.44,866.44,866.44,866.44,866.44
2010/06/14,878.56,878.56,878.56,878.56,878.56,878.56
2010/06/15,878.83,878.83,878.83,878.83,878.83,878.83
2010/06/16,892.38,892.38,892.38,892.38,892.38,892.38
2010/06/17,887.48,887.48,887.48,887.48,887.48,887.48
2010/06/18,884.64,884.64,884.64,884.64,884.64,884.64
2010/06/21,902.49,902.49,902.49,902.49,902.49,902.49
2010/06/22,894.56,894.56,894.56,894.56,894.56,894.56
2010/06/23,880.84,880.84,880.84,880.84,880.84,880.84
2010/06/24,879.77,879.77,879.77,879.77,879.77,879.77
2010/06/25,867.3,867.3,867.3,867.3,867.3,867.3
2010/06/28,860.8,860.8,860.8,860.8,860.8,860.8
2010/06/29,852.19,852.19,852.19,852.19,852.19,852.19
2010/06/30,841.42,841.42,841.42,841.42,841.42,841.42
2010/07/01,828.39,828.39,828.39,828.39,828.39,828.39
2010/07/02,830.98,830.98,830.98,830.98,830.98,830.98
2010/07/05,836.89,836.89,836.89,836.89,836.89,836.89
2010/07/06,847.24,847.24,847.24,847.24,847.24,847.24
2010/07/07,841.51,841.51,841.51,841.51,841.51,841.51
